,CCG,AreaCode,mean_presc,max_presc,diff.,Reduction,IMD,Income,Employment,Education,Health,Crime,Services_Housing,Living_Environment
0,"Airedale, Wharfedale and Craven",E38000001,1.07477788,1.151658654,0.151696935,15.2,121,140,128,131,108,158,151,41
1,Ashford,E38000002,1.209621841,1.294970721,0.182311207,16.4,144,133,148,96,174,108,28,158
2,Aylesbury Vale,E38000003,1.106975397,1.187016308,0.160888046,15.7,193,200,196,171,198,183,40,190
3,Barking and Dagenham,E38000004,1.098037649,1.241309494,0.280547425,29.2,16,10,40,54,61,5,5,61
4,Barnet,E38000005,0.906051247,0.994840816,0.182613403,22.5,136,116,163,202,183,51,18,78
5,Barnsley,E38000006,1.206405158,1.318953514,0.195498705,17.4,39,48,17,9,20,83,204,176
6,Basildon and Brentwood,E38000007,1.203008329,1.24361062,0.093117326,8.1,117,105,120,44,167,75,61,197
7,Bassetlaw,E38000008,1.164889568,1.23007375,0.136798397,12.5,90,106,71,46,63,104,123,120
8,Bath and North East Somerset,E38000009,0.934721556,1.030197755,0.175081924,20.5,183,177,180,177,169,168,154,136
9,Bedfordshire,E38000010,1.103442151,1.147970349,0.102892414,9.8,168,160,161,129,171,127,97,166
10,Bexley,E38000011,1.20940356,1.264345914,0.108777672,9.4,155,126,144,133,177,89,63,155
11,Birmingham CrossCity,E38000012,1.114039045,1.229793519,0.198544905,19.3,11,14,21,34,39,49,11,17
12,Birmingham South and Central,E38000013,1.260390277,1.358293891,0.20345071,17.6,9,9,25,39,35,43,8,19
13,Blackburn with Darwen,E38000014,1.247314833,1.35048914,0.191396982,16.5,18,24,18,20,9,38,198,40
14,Blackpool,E38000015,1.333352444,1.36648187,0.119138509,9.6,3,4,2,15,2,11,209,16
15,Bolton,E38000016,1.284547605,1.399536014,0.201561213,16.8,45,45,35,72,29,71,152,74
16,Bracknell and Ascot,E38000017,1.044364782,1.125511274,0.174297914,18.3,201,198,199,180,197,190,66,209
17,Bradford City,E38000018,1.182339091,1.216920108,0.150536254,14.1,1,1,3,1,7,3,51,1
18,Bradford Districts,E38000019,1.196367497,1.26844731,0.15117687,13.5,26,35,36,16,34,20,163,35
19,Brent,E38000020,0.829645352,0.904838905,0.143365145,18.8,62,47,95,153,131,22,3,44
20,Brighton and Hove,E38000021,0.871150398,0.952618167,0.133808941,16.3,82,102,110,111,75,84,45,29
21,Bristol,E38000022,0.98857582,1.069745675,0.167950437,18.6,54,67,75,49,70,34,108,37
22,Bromley,E38000023,0.935889338,1.018862113,0.162680521,19,163,153,166,187,188,64,50,142
23,Bury,E38000024,1.223937193,1.336898208,0.220800191,19.8,100,88,60,147,58,99,190,87
24,Calderdale,E38000025,1.224562933,1.293883473,0.125440866,10.7,72,71,59,100,74,76,188,26
25,Cambridgeshire and Peterborough,E38000026,1.14674338,1.221515447,0.147855148,13.8,152,161,162,104,155,149,57,134
26,Camden,E38000027,0.641107444,0.686179698,0.103165403,17.7,69,58,109,189,112,37,73,4
27,Cannock Chase,E38000028,1.250601172,1.329455256,0.131620079,11,116,103,88,42,93,120,182,177
28,Canterbury and Coastal,E38000029,1.253773762,1.358000308,0.227781176,20.2,146,142,146,124,127,110,56,135
29,Castle Point and Rochford,E38000030,1.118317149,1.164793462,0.097651944,9.2,173,169,164,69,176,144,159,192
30,Central London (Westminster),E38000031,0.727633328,0.791097179,0.124477863,18.7,67,84,141,203,166,56,13,2
31,Chiltern,E38000033,1.109921189,1.193282127,0.154096603,14.8,203,199,197,191,208,147,113,196
32,Chorley and South Ribble,E38000034,1.170602116,1.264783531,0.241782784,23.6,140,146,121,155,73,125,193,100
33,City and Hackney,E38000035,0.749607788,0.815473333,0.133198738,19.5,15,15,53,148,50,12,6,5
